GC : DAC 1 : Trigger,10, 10-bit DAC (MSB-LSB) discri_trigger_threshold,931,0000 0000 00
GC : DAC 2 : Gain Sel.,10, 10-bit DAC (MSB-LSB) discri_gs_threshold,941,0000 0000 00
GC : TDC Ramp Slope,1, TDC ramp slope (fast = 0 or slow = 1),951,0
EN : TDC Ramp,1, Enable TDC ramp,952,1
PP : TDC Ramp,1, Enable TDC ramp power pulsing,953,0
PP : ADC Discri,1, Enable ADC discri power pulsing,954,0
PP : Gain Select Discri,1, Enable gain selection discri power pulsing,955,0
GC : Auto Gain,1, Auto gain selection (active low),956,0
GC : Gain Select,1, Forces the gain value when auto gain selection is OFF,957,0
EC : ADC Ext Input,1, External ADC signal input,958,0 (internal data to ADC)
GC : Switch TDC On,1, Switch for time signal charge signal readout / high gain and low gain charge,959,0
DM : Discriminator Mask,36, Allows to Mask Discriminator (channel 35 to 0),960,36x 0 (all triggers active)
EN : Discri Delay Vref  + I source (Trigger),1,,996,0
PP : Discri Delay Vref  + I source (Trigger),1, Enable reference voltage of discri delay + current source power pulsing,997,0
GC : Delay (Trigger),8, Delay for the trigger signals ( From MSB to LSB),998,0010 1010
DD : Discri 4-bit DAC Threshold Adjust,144, Discri 4-bit DAC   from LSB to MSB - from channel 35 to 0,1006,36 x 0000
PP : Trigger Discriminator,1, Enable trigger discri power pulsing,1150,0
PP : 4-bit DAC,1, Enable 4 bit dac power pulsing,1151,0
PP : Discri Delay (Trigger),1, Enable Delay (Trigger) discriminator power pulsing,1152,0
   : NC,4,,1153,0
PP : Delay (ValidHold),1, Enable Delay cell power pulsing for the ValidHold signal,1157,0
GC : Delay (ValidHold),6, Delay for the ValidHold signal ( From MSB to LSB),1158,000 000
PP : Delay (RstColumn),1, Enable Delay cell power pulsing for the RstColumn signal,1164,0
GC : Delay (RstColumn),6, Delay for the RstColumn signal ( From MSB to LSB),1165,000 000
EN : LVDS receiver NoTrig,1, Enable LVDS Receivers NoTrig,1171,1
PP : LVDS receiver NoTrig,1, Enable LVDS Receivers Power Pulsing NoTrig,1172,0
EN : LVDS receiver ValEvt,1, Enable LVDS Receivers ValEvt,1173,1
PP : LVDS receiver ValEvt,1, Enable LVDS Receivers Power Pulsing ValEvt,1174,0
EN : LVDS receiver TrigExt,1, Enable LVDS Receivers TrigExt,1175,1
PP : LVDS receiver TrigExt,1, Enable LVDS Receivers Power Pulsing TrigExt,1176,0
PP : 40MHz & 10MHz Clock LVDS,1, Enable LVDS Receivers Power Pulsing,1177,0
GC : POD bypass,1, Bypass POD command,1178,0
EC : End_ReadOut,1, Enable End_ReadOut1 ('1') or End_ReadOut2 ('0'),1179,1
EC : Start_ReadOut,1, Select Start_ReadOut1 ('1') or Start_ReadOut2 ('0'),1180,1
EC : ChipSat,1, Enable Opened collector ChipSat signal,1181,1
EC : TransmitOn2,1, Enable Opened collector TransmitOn2 signal,1182,1
EC : TransmitOn1,1, Enable Opened collector TransmitOn1 signal,1183,1
EC : Dout2,1, Enable Opened collector Dout2 signal,1184,1
EC : Dout1,1, Enable Opened collector Dout1 signal,1185,1
